owner,countedBalance,originalBalance
Es88zggDMWwAXCQyCRngiLjkZxn4HLkBJA8vh6u6J8iY,2701483897842,2701483897842
Ev1AaPu4c6L1QEXZiLv9DkNBa3ZigddiXYFTk9tN2DoK,5398641347981,5398641347981
EvGpkcSBfhp5K9SNP48wVtfNXdKYRBiK3kvMkB66kU3Q,683805489823,683805489823
Ew9VcVLUNEy5SUFSPkitvC6exGLc69Hd6or416VcZQbm,1692681332241,1692681332241
Ez4QJuVjRbmmSXAU5knm9x4sqfLerenstBpNFbhUBXTV,701821654763,701821654763
F4wCh5fU3qF62e8kY51QL9RAzyyR2Cg6NwSP8KpQFWtU,559597568770,559597568770
F5nfdSVTT5ides5NCFSb1Gk7fBxp9J9HWR3NQ5og8T5S,500029831086,500029831086
F8xJC5YAzx9Qa3ckSi84EvKkEKsa1bTphUs3L7piDZQF,1139363176383,1139363176383
FA4PMyR7tHHPyX3kDLotEQjDkp5RBv1hXXQWCT4T8q8Q,12732535067144,14115423813071
FA6FqUAR7JSwzUh5j2ZJU52yiBFcyeVTpTBATBjuD2GD,1461313824145,1461313824145
FJVGkK58Gtdpi9ZYsdXvNBXBDibdUkySc2vMPwWVEi7z,1245121815502,1245121815502
FKwZyspNpxecNLWwXACNcRT5VBHS5MrrWTx2RgfUEaQU,2601438268095,2601438268095
FN33y1yGknMEn7vdTCJGp6frWZjAdn1FT8d8ok3uJFui,801908689846,801908689846
FRNvnaZVxYSH2fsv3rEkjAyHmUguDikwKoHDB2tjnEma,2232395815600,2232395815600
FSjAYJBWW5JfMEbQaaDAy6CPxe2LY5g3c2uzQoKPt5V2,1550823066210,1550823066210
FTXFebkrhfAADmwjacQgMrEFPZx2qzvRZMEZyaGEWpLM,623549865579,623549865579
FVaAJuQs2YzVnvG2gKAmHrwGgfQ9dtAeHfM9dHRBA4KR,5830287856971,5830287856971
FXvPKa33hFZS6e7pEqskR9M2ACVTXgdhVdTE1PiEZm67,700026755412,700026755412
FYTHGSDyuGqQF9zZ2yjiufEt7NCU9Qga9FuusmuBAobR,2101430766187,2101430766187
Fj96fYDJcnFycATraDwBRNhh58PEdeieedeuLTUaicbT,2060955733353,2060955733353
FkcGS75NvtyRvxvqhyfSfXDkbsqiUeUp1uvJc35Zcbhg,593451534262,593451534262
Fkhfw31vzZqU7TLpnN5F75Xc1CSKnPsPF5wvg6vjABZa,784905617252,784905617252
FkrnQmh9UjhaJ5j3FafC7fX4zfZ7TbB19z6awgBp694x,899820004335,899820004335
FoeF6ywNgnT95qcCmvz8NBtZLow9Zs1sPKEfzF1BpTNh,670000000000,670000000000
FqAEUwZDb2nfAJKHYBguJs7UQEpbLM7RHyaENrtXQH5A,624567459057,624567459057
Fx1PCsTofE3ZfKZSqwkRmYXb61HXGBX6x4HgX3QwcQ2e,806770103809,806770103809
G23RB28wwx86rwZsTjdGesfbz8tPgwgwQF67k6UPXsjD,5001000000000,5001000000000
G7SCyYpCHBB3NVSjsX1QHGvLbyqpZWNfCFeWKHMWDavS,1012682175715,1012682175715
GEZgoycH2nse8jR8ibVs5345b9wFYvEnr69RszSkLXtQ,4001322543466,4001322543466
GH5f4hYyNb5yXfwiKHWJgi4ibeXzZZEFvDQ7WRGA4nmj,7500000002213,7500000002213
GLHVfimEjhZFEcg3LTiAAJSX63Hs9vmgPaoFStKfrTdd,623240934203,623240934203
